scenario,true_fcr,proxy_fcr,repeat_30d,repeat_31_60d,churn,aht,burnout,compliance,strain,rep_id,condition,call_id
fraud_care_promo,0.2088,0.9393,0.173,0.3847,0.1047,497.0,0.128,0.2633,0.4492,REP-0009,baseline,BASELINE-01009
fraud_line_add,0.2105,0.8703,0.2761,0.4418,0.1052,532.1,0.2531,0.2316,0.4064,REP-0010,baseline,BASELINE-01010
fraud_hic_exchange,0.1245,0.8974,0.3447,0.5254,0.073,558.8,0.2646,0.3027,0.4108,REP-0011,baseline,BASELINE-01011
loyalty_offer_missed,0.0925,0.9713,0.1998,0.6296,0.1282,536.7,0.3186,0.3937,0.4107,REP-0012,baseline,BASELINE-01012
gamed_metric,0.0892,0.9396,0.0884,0.5043,0.1025,575.7,0.4586,0.3265,0.3557,REP-0013,baseline,BASELINE-01013
clean,0.7553,0.9025,0.0547,0.0447,0.0537,518.3,0.396,0.3244,0.3357,REP-0014,baseline,BASELINE-01014
loyalty_offer_missed,0.1477,0.9353,0.1683,0.5987,0.1289,526.1,0.4037,0.3127,0.3299,REP-0015,baseline,BASELINE-01015
gamed_metric,0.1649,0.9074,0.1591,0.5223,0.0677,555.3,0.4801,0.3089,0.437,REP-0016,baseline,BASELINE-01016
loyalty_offer_missed,0.1031,0.9346,0.1867,0.6403,0.1257,570.6,0.4731,0.311,0.4367,REP-0017,baseline,BASELINE-01017
gamed_metric,0.1611,0.8934,0.0933,0.4548,0.0814,587.4,0.4418,0.3685,0.427,REP-0018,baseline,BASELINE-01018
clean,0.653,0.9002,0.0523,0.0509,0.0381,551.7,0.327,0.3315,0.3677,REP-0019,baseline,BASELINE-01019
loyalty_offer_missed,0.0855,0.9492,0.1581,0.681,0.1473,588.8,0.4603,0.4979,0.3505,REP-0020,baseline,BASELINE-01020
fraud_line_add,0.1287,0.8521,0.2856,0.3619,0.1066,558.5,0.4406,0.3043,0.3647,REP-0021,baseline,BASELINE-01021
gamed_metric,0.0977,0.9233,0.1069,0.4907,0.1064,552.1,0.38,0.3648,0.3728,REP-0022,baseline,BASELINE-01022
clean,0.6669,0.9225,0.0599,0.0,0.0423,536.6,0.1881,0.2482,0.4913,REP-0023,baseline,BASELINE-01023
loyalty_offer_missed,0.1448,0.8904,0.2171,0.6556,0.1392,628.3,0.4954,0.3678,0.4163,REP-0024,baseline,BASELINE-01024
gamed_metric,0.1287,0.9568,0.1103,0.4892,0.1084,546.0,0.3844,0.361,0.3943,REP-0025,baseline,BASELINE-01025
unresolvable_clean,0.1528,0.5796,0.3238,0.262,0.0911,541.7,0.4404,0.5553,0.4545,REP-0026,baseline,BASELINE-01026
clean,0.6524,0.8535,0.0447,0.0611,0.0278,568.6,0.3236,0.305,0.3303,REP-0027,baseline,BASELINE-01027
clean,0.5833,0.9117,0.0302,0.0531,0.0259,599.2,0.4541,0.3652,0.3228,REP-0028,baseline,BASELINE-01028
clean,0.8068,0.9435,0.1042,0.0,0.0243,521.1,0.2583,0.2954,0.32,REP-0029,baseline,BASELINE-01029
unresolvable_clean,0.1321,0.5624,0.344,0.2664,0.0908,585.6,0.3938,0.2753,0.3577,REP-0030,baseline,BASELINE-01030
clean,0.6045,0.8999,0.0585,0.0302,0.0612,471.8,0.0,0.191,0.2893,REP-0031,baseline,BASELINE-01031
fraud_line_add,0.1069,0.8523,0.2327,0.4243,0.0891,503.4,0.227,0.2205,0.4273,REP-0032,baseline,BASELINE-01032
clean,0.722,0.9111,0.0726,0.0158,0.0549,559.7,0.4507,0.3311,0.4198,REP-0033,baseline,BASELINE-01033
clean,0.5536,0.9043,0.069,0.0316,0.0001,569.3,0.4052,0.3451,0.4266,REP-0034,baseline,BASELINE-01034
clean,0.7446,0.9444,0.0631,0.1034,0.0622,510.0,0.1617,0.1079,0.434,REP-0035,baseline,BASELINE-01035
clean,0.4989,0.8507,0.0589,0.085,0.0442,536.0,0.2407,0.2709,0.3289,REP-0036,baseline,BASELINE-01036
gamed_metric,0.0991,0.8876,0.1237,0.541,0.095,537.1,0.2507,0.2515,0.5064,REP-0037,baseline,BASELINE-01037
clean,0.7556,0.8905,0.0755,0.014,0.0416,536.6,0.3232,0.3578,0.3927,REP-0038,baseline,BASELINE-01038
clean,0.7262,0.9029,0.0429,0.0906,0.0218,560.8,0.2901,0.3797,0.398,REP-0039,baseline,BASELINE-01039
fraud_care_promo,0.1603,0.9766,0.2576,0.3824,0.0721,543.6,0.431,0.4249,0.3522,REP-0040,baseline,BASELINE-01040
unresolvable_clean,0.1676,0.5288,0.3507,0.2175,0.0465,527.6,0.2407,0.2146,0.3454,REP-0041,baseline,BASELINE-01041
loyalty_offer_missed,0.0229,0.9672,0.1812,0.6826,0.1392,644.0,0.5754,0.452,0.3513,REP-0042,baseline,BASELINE-01042
clean,0.5696,0.8846,0.0829,0.0211,0.0444,530.3,0.162,0.261,0.3234,REP-0043,baseline,BASELINE-01043
fraud_care_promo,0.1664,0.971,0.2508,0.3504,0.0961,576.9,0.5399,0.2504,0.4206,REP-0044,baseline,BASELINE-01044
clean,0.673,0.9186,0.0126,0.0,0.0259,531.4,0.0361,0.1377,0.4063,REP-0045,baseline,BASELINE-01045
loyalty_offer_missed,0.1015,0.9107,0.1557,0.6767,0.1369,509.5,0.2309,0.2685,0.3302,REP-0046,baseline,BASELINE-01046
gamed_metric,0.1293,0.8986,0.1507,0.5424,0.0855,505.2,0.0792,0.2041,0.3671,REP-0047,baseline,BASELINE-01047
gamed_metric,0.185,0.9459,0.1351,0.5336,0.0935,584.5,0.4515,0.4159,0.3849,REP-0048,baseline,BASELINE-01048
clean,0.7298,0.8958,0.0565,0.1081,0.0067,513.9,0.1499,0.2772,0.4008,REP-0049,baseline,BASELINE-01049
clean,0.4771,0.8664,0.0489,0.0,0.0547,569.2,0.3825,0.459,0.3796,REP-0050,baseline,BASELINE-01050
clean,0.7318,0.9307,0.0284,0.0054,0.0474,512.1,0.2776,0.2759,0.4544,REP-0051,baseline,BASELINE-01051
fraud_care_promo,0.1747,0.886,0.2043,0.3663,0.0987,549.3,0.2916,0.2995,0.4828,REP-0052,baseline,BASELINE-01052
clean,0.5695,0.9099,0.0939,0.0767,0.0729,568.0,0.4196,0.2257,0.3257,REP-0053,baseline,BASELINE-01053
clean,0.6661,0.9145,0.0661,0.0,0.0264,518.3,0.3033,0.2875,0.3654,REP-0054,baseline,BASELINE-01054
loyalty_offer_missed,0.0027,0.9113,0.1789,0.5883,0.1053,592.3,0.4345,0.3177,0.3854,REP-0055,baseline,BASELINE-01055
clean,0.7412,0.8976,0.0732,0.0,0.0798,484.6,0.0742,0.1402,0.3954,REP-0056,baseline,BASELINE-01056
loyalty_offer_missed,0.1282,0.9269,0.1685,0.693,0.1626,531.8,0.3882,0.3089,0.3009,REP-0057,baseline,BASELINE-01057
unresolvable_clean,0.0693,0.5633,0.3111,0.2903,0.1014,538.8,0.4212,0.4193,0.4058,REP-0058,baseline,BASELINE-01058
gamed_metric,0.0896,0.9553,0.0886,0.5457,0.0809,568.6,0.2751,0.3714,0.4072,REP-0059,baseline,BASELINE-01059
clean,0.6568,0.9148,0.0263,0.0,0.0435,515.1,0.1236,0.2612,0.3239,REP-0060,baseline,BASELINE-01060
clean,0.7228,0.9167,0.1243,0.0143,0.0594,549.8,0.1464,0.283,0.3265,REP-0061,baseline,BASELINE-01061
gamed_metric,0.0957,0.9115,0.1132,0.5136,0.1184,485.2,0.2075,0.2054,0.3015,REP-0062,baseline,BASELINE-01062
fraud_line_add,0.1461,0.8342,0.3174,0.451,0.1136,528.9,0.3046,0.2934,0.4079,REP-0063,baseline,BASELINE-01063
loyalty_offer_missed,0.1151,0.9766,0.1863,0.7166,0.1289,507.3,0.2605,0.2598,0.3247,REP-0064,baseline,BASELINE-01064
clean,0.5506,0.8859,0.0673,0.0671,0.0585,617.6,0.5754,0.4646,0.3419,REP-0065,baseline,BASELINE-01065
clean,0.5775,0.9182,0.0673,0.0531,0.047,613.7,0.6096,0.4111,0.4704,REP-0066,baseline,BASELINE-01066
clean,0.648,0.9176,0.023,0.0283,0.0252,542.9,0.3476,0.4088,0.5037,REP-0067,baseline,BASELINE-01067
fraud_store_promo,0.1217,0.913,0.2697,0.4313,0.1146,562.0,0.3237,0.3944,0.4239,REP-0068,baseline,BASELINE-01068
fraud_store_promo,0.2038,0.912,0.3109,0.4402,0.1064,541.0,0.3912,0.4248,0.3272,REP-0069,baseline,BASELINE-01069
clean,0.7536,0.9345,0.1014,0.0495,0.0317,451.2,0.1049,0.1977,0.393,REP-0070,baseline,BASELINE-01070
clean,0.657,0.9409,0.0115,0.0349,0.0371,527.8,0.3677,0.4143,0.4376,REP-0071,baseline,BASELINE-01071
clean,0.6421,0.9104,0.0828,0.0548,0.025,540.3,0.2227,0.2336,0.3952,REP-0072,baseline,BASELINE-01072
clean,0.638,0.8953,0.0678,0.0417,0.0406,445.8,0.0313,0.2129,0.3359,REP-0073,baseline,BASELINE-01073
clean,0.6234,0.9333,0.0984,0.0904,0.0493,573.4,0.2297,0.2581,0.3723,REP-0074,baseline,BASELINE-01074
fraud_hic_exchange,0.1451,0.8887,0.3468,0.4316,0.0471,427.2,0.0,0.1371,0.3459,REP-0075,baseline,BASELINE-01075
clean,0.5796,0.9017,0.0559,0.0339,0.0316,518.3,0.4896,0.5389,0.3893,REP-0076,baseline,BASELINE-01076
loyalty_offer_missed,0.0607,0.9391,0.2101,0.6337,0.1428,562.5,0.4809,0.4223,0.3764,REP-0077,baseline,BASELINE-01077
clean,0.6614,0.8702,0.0261,0.0192,0.045,530.4,0.2195,0.2591,0.3243,REP-0078,baseline,BASELINE-01078
clean,0.5786,0.8566,0.0291,0.047,0.025,490.2,0.2203,0.3967,0.4018,REP-0079,baseline,BASELINE-01079
fraud_store_promo,0.221,0.893,0.286,0.4087,0.0948,483.1,0.2625,0.243,0.3992,REP-0080,baseline,BASELINE-01080
fraud_line_add,0.1777,0.8269,0.2801,0.3541,0.0733,516.8,0.3477,0.3402,0.3651,REP-0081,baseline,BASELINE-01081
unresolvable_clean,0.1096,0.5688,0.2689,0.272,0.0813,578.8,0.4685,0.2467,0.3827,REP-0082,baseline,BASELINE-01082
gamed_metric,0.1446,0.8945,0.1357,0.496,0.0583,572.8,0.3241,0.3347,0.3907,REP-0083,baseline,BASELINE-01083
fraud_store_promo,0.2227,0.8548,0.3215,0.4241,0.1043,476.8,0.0747,0.2146,0.3262,REP-0084,baseline,BASELINE-01084
fraud_care_promo,0.206,0.9466,0.2266,0.3313,0.1141,506.4,0.1163,0.2077,0.3761,REP-0085,baseline,BASELINE-01085
loyalty_offer_missed,0.181,0.9758,0.2362,0.615,0.1124,504.0,0.131,0.2958,0.3852,REP-0086,baseline,BASELINE-01086
fraud_hic_exchange,0.1331,0.8448,0.3478,0.4692,0.0923,506.9,0.2099,0.2914,0.3445,REP-0087,baseline,BASELINE-01087
clean,0.7263,0.8673,0.0681,0.0457,0.0519,472.1,0.1217,0.2317,0.4488,REP-0088,baseline,BASELINE-01088
clean,0.7204,0.9025,0.1036,0.007,0.0266,568.1,0.274,0.3763,0.4072,REP-0089,baseline,BASELINE-01089
fraud_store_promo,0.1506,0.867,0.2918,0.3713,0.1112,566.4,0.3776,0.3079,0.4431,REP-0090,baseline,BASELINE-01090
loyalty_offer_missed,0.1106,0.9595,0.1674,0.6069,0.1185,482.9,0.2042,0.2743,0.3455,REP-0091,baseline,BASELINE-01091
unresolvable_clean,0.0378,0.5569,0.3442,0.223,0.0849,586.3,0.5029,0.413,0.4456,REP-0092,baseline,BASELINE-01092
unresolvable_clean,0.065,0.5514,0.2875,0.2516,0.1074,582.0,0.464,0.3828,0.374,REP-0093,baseline,BASELINE-01093
gamed_metric,0.1267,0.9128,0.1188,0.5433,0.1022,518.8,0.2785,0.2464,0.4159,REP-0094,baseline,BASELINE-01094
unresolvable_clean,0.0823,0.5322,0.28,0.2999,0.0457,519.3,0.2867,0.1706,0.3384,REP-0095,baseline,BASELINE-01095
unresolvable_clean,0.0726,0.6003,0.2989,0.3552,0.0599,487.2,0.2449,0.2955,0.4076,REP-0096,baseline,BASELINE-01096
unresolvable_clean,0.0061,0.5638,0.3347,0.3127,0.0808,565.0,0.3172,0.2772,0.3605,REP-0097,baseline,BASELINE-01097
fraud_line_add,0.1801,0.8716,0.2365,0.3822,0.0883,541.0,0.2709,0.463,0.414,REP-0098,baseline,BASELINE-01098
clean,0.5877,0.9193,0.0506,0.0519,0.0716,593.8,0.2955,0.3565,0.4606,REP-0099,baseline,BASELINE-01099
fraud_store_promo,0.2325,0.887,0.2671,0.3782,0.0707,533.4,0.2934,0.4521,0.3168,REP-0100,baseline,BASELINE-01100
unresolvable_clean,0.037,0.505,0.2993,0.3363,0.0567,504.9,0.2514,0.2976,0.3447,REP-0101,baseline,BASELINE-01101
loyalty_offer_missed,0.1927,0.9091,0.2096,0.6499,0.1064,615.4,0.52,0.3336,0.438,REP-0102,baseline,BASELINE-01102
fraud_line_add,0.2049,0.8574,0.2962,0.3887,0.0877,521.5,0.2576,0.2355,0.3354,REP-0103,baseline,BASELINE-01103
gamed_metric,0.1309,0.8764,0.1466,0.5417,0.0591,498.0,0.3584,0.2555,0.418,REP-0104,baseline,BASELINE-01104
clean,0.5947,0.8616,0.1041,0.0,0.0437,580.5,0.4351,0.2869,0.4065,REP-0105,baseline,BASELINE-01105
loyalty_offer_missed,0.0693,1.0,0.2341,0.6852,0.1453,567.1,0.3445,0.4407,0.3081,REP-0106,baseline,BASELINE-01106
clean,0.6804,0.8899,0.0734,0.073,0.0423,502.7,0.3241,0.3941,0.3679,REP-0107,baseline,BASELINE-01107
clean,0.5955,0.9152,0.0789,0.076,0.0477,529.7,0.2431,0.3288,0.3719,REP-0108,baseline,BASELINE-01108
fraud_care_promo,0.2454,0.8772,0.1796,0.3617,0.0943,647.5,0.4527,0.2887,0.3753,REP-0109,baseline,BASELINE-01109
fraud_store_promo,0.2365,0.8861,0.3341,0.4109,0.1325,523.5,0.3574,0.2562,0.341,REP-0110,baseline,BASELINE-01110
clean,0.7067,0.9401,0.042,0.0628,0.031,530.6,0.3164,0.2788,0.3614,REP-0111,baseline,BASELINE-01111
clean,0.6641,0.8621,0.1124,0.0624,0.0518,512.2,0.3209,0.3696,0.4867,REP-0112,baseline,BASELINE-01112
clean,0.6085,0.9032,0.0873,0.0093,0.0426,541.2,0.3306,0.4345,0.4608,REP-0113,baseline,BASELINE-01113
clean,0.6665,0.9601,0.041,0.0184,0.0489,526.3,0.466,0.4727,0.3736,REP-0114,baseline,BASELINE-01114
gamed_metric,0.1656,0.9449,0.1284,0.4618,0.0892,563.2,0.468,0.404,0.4302,REP-0115,baseline,BASELINE-01115
clean,0.5268,0.8832,0.056,0.0097,0.0725,522.0,0.3165,0.3121,0.3827,REP-0116,baseline,BASELINE-01116
loyalty_offer_missed,0.097,0.9178,0.1855,0.6243,0.1538,564.3,0.3991,0.3602,0.369,REP-0117,baseline,BASELINE-01117
clean,0.6625,0.9646,0.0568,0.0485,0.0426,503.7,0.1139,0.2803,0.38,REP-0118,baseline,BASELINE-01118
loyalty_offer_missed,0.0879,0.9703,0.1939,0.5882,0.152,499.9,0.136,0.2592,0.3863,REP-0119,baseline,BASELINE-01119
clean,0.6853,0.8935,0.06,0.0,0.0274,571.7,0.4065,0.2986,0.4095,REP-0120,baseline,BASELINE-01120
clean,0.6934,0.8975,0.0398,0.0928,0.0432,508.3,0.1259,0.2282,0.3651,REP-0121,baseline,BASELINE-01121
loyalty_offer_missed,0.067,0.9017,0.1691,0.6461,0.1297,487.1,0.3009,0.4219,0.3647,REP-0122,baseline,BASELINE-01122
clean,0.5239,0.8834,0.0574,0.0668,0.0359,513.0,0.3881,0.2092,0.3505,REP-0123,baseline,BASELINE-01123
clean,0.6984,0.9092,0.0103,0.065,0.058,497.8,0.1406,0.2107,0.3377,REP-0124,baseline,BASELINE-01124
clean,0.75,0.9637,0.122,0.0822,0.0048,509.4,0.2123,0.2702,0.4738,REP-0125,baseline,BASELINE-01125
loyalty_offer_missed,0.0787,0.9227,0.1881,0.6263,0.1669,578.0,0.4508,0.4279,0.4117,REP-0126,baseline,BASELINE-01126
clean,0.6003,0.8833,0.0719,0.0252,0.073,525.0,0.2188,0.362,0.4255,REP-0127,baseline,BASELINE-01127
loyalty_offer_missed,0.1049,0.9585,0.1849,0.6851,0.1299,538.7,0.1993,0.3446,0.4293,REP-0128,baseline,BASELINE-01128
clean,0.6369,0.8557,0.0749,0.0111,0.0338,541.0,0.3665,0.3684,0.3694,REP-0129,baseline,BASELINE-01129
loyalty_offer_missed,0.1107,0.9357,0.1675,0.6293,0.1376,521.7,0.2252,0.242,0.3703,REP-0130,baseline,BASELINE-01130
unresolvable_clean,0.0705,0.4965,0.3348,0.2852,0.0519,543.2,0.3168,0.3689,0.3701,REP-0131,baseline,BASELINE-01131
clean,0.6573,0.8798,0.1079,0.0299,0.0342,472.1,0.0918,0.2375,0.4375,REP-0132,baseline,BASELINE-01132
clean,0.709,0.9353,0.082,0.0373,0.0444,558.1,0.3467,0.3702,0.4666,REP-0133,baseline,BASELINE-01133
gamed_metric,0.1761,0.9278,0.0916,0.5482,0.0809,514.0,0.2331,0.2818,0.4178,REP-0134,baseline,BASELINE-01134
clean,0.6806,0.947,0.0338,0.0035,0.022,579.0,0.4177,0.3798,0.4388,REP-0135,baseline,BASELINE-01135
gamed_metric,0.1499,0.9277,0.1514,0.4744,0.0869,575.4,0.4551,0.218,0.4282,REP-0136,baseline,BASELINE-01136
unresolvable_clean,0.131,0.5435,0.2862,0.284,0.052,568.2,0.2601,0.3226,0.3343,REP-0137,baseline,BASELINE-01137
gamed_metric,0.1661,0.9635,0.0722,0.4892,0.0933,537.6,0.2812,0.406,0.3722,REP-0138,baseline,BASELINE-01138
clean,0.5662,0.9217,0.0533,0.0006,0.0575,537.6,0.1726,0.2906,0.4245,REP-0139,baseline,BASELINE-01139
clean,0.6156,0.9388,0.0462,0.104,0.0402,555.3,0.3861,0.3853,0.3509,REP-0140,baseline,BASELINE-01140
clean,0.5625,0.877,0.0703,0.0818,0.0184,493.9,0.1274,0.2249,0.4088,REP-0141,baseline,BASELINE-01141
clean,0.4718,0.8956,0.0497,0.0668,0.064,612.0,0.3646,0.2439,0.4065,REP-0142,baseline,BASELINE-01142
unresolvable_clean,0.0361,0.5644,0.3142,0.236,0.0534,571.7,0.5261,0.2993,0.4003,REP-0143,baseline,BASELINE-01143
gamed_metric,0.1123,0.9191,0.1265,0.5169,0.0892,595.8,0.5011,0.4836,0.3738,REP-0144,baseline,BASELINE-01144
fraud_care_promo,0.1646,0.9709,0.2011,0.3957,0.0748,586.6,0.322,0.2565,0.4269,REP-0145,baseline,BASELINE-01145
loyalty_offer_missed,0.1139,0.9248,0.1453,0.6599,0.1222,579.4,0.3044,0.3232,0.2904,REP-0146,baseline,BASELINE-01146
clean,0.6594,0.8865,0.0958,0.0487,0.0487,504.7,0.2772,0.4198,0.3647,REP-0147,baseline,BASELINE-01147
clean,0.604,0.8834,0.055,0.0,0.0195,542.0,0.353,0.2869,0.3956,REP-0148,baseline,BASELINE-01148
gamed_metric,0.114,0.9551,0.1392,0.5135,0.0788,506.1,0.2206,0.2806,0.3834,REP-0149,baseline,BASELINE-01149
loyalty_offer_missed,0.1148,0.8788,0.1665,0.6552,0.1167,537.3,0.2619,0.2916,0.405,REP-0150,baseline,BASELINE-01150
gamed_metric,0.1696,0.9101,0.1437,0.5073,0.1023,511.7,0.2316,0.211,0.3897,REP-0151,baseline,BASELINE-01151
clean,0.6718,0.972,0.0332,0.0126,0.0553,523.9,0.203,0.3693,0.2841,REP-0152,baseline,BASELINE-01152
clean,0.5186,0.9187,0.076,0.0538,0.0,496.6,0.3236,0.3008,0.3855,REP-0153,baseline,BASELINE-01153
loyalty_offer_missed,0.1669,0.9598,0.1807,0.6484,0.1527,535.8,0.2448,0.3144,0.347,REP-0154,baseline,BASELINE-01154
loyalty_offer_missed,0.1242,0.9141,0.2423,0.6263,0.1196,538.9,0.2567,0.1541,0.3687,REP-0155,baseline,BASELINE-01155
unresolvable_clean,0.0,0.5275,0.3597,0.2309,0.068,528.3,0.2635,0.314,0.4545,REP-0156,baseline,BASELINE-01156
clean,0.6702,0.889,0.0936,0.1069,0.0724,551.9,0.3329,0.2652,0.3882,REP-0157,baseline,BASELINE-01157
clean,0.6674,0.9306,0.0614,0.0441,0.0216,487.9,0.17,0.3456,0.4527,REP-0158,baseline,BASELINE-01158
clean,0.6478,0.8955,0.0502,0.0693,0.0839,589.0,0.4293,0.3819,0.3466,REP-0159,baseline,BASELINE-01159
clean,0.5858,0.9285,0.0632,0.0,0.0447,503.9,0.3285,0.3674,0.3872,REP-0160,baseline,BASELINE-01160
unresolvable_clean,0.1136,0.5224,0.3032,0.3401,0.0789,543.4,0.311,0.3336,0.4027,REP-0161,baseline,BASELINE-01161
fraud_store_promo,0.2012,0.9125,0.3295,0.4674,0.078,506.8,0.2118,0.3517,0.3103,REP-0162,baseline,BASELINE-01162
gamed_metric,0.1107,0.8602,0.0999,0.4585,0.0846,570.0,0.5062,0.3179,0.3092,REP-0163,baseline,BASELINE-01163
clean,0.6732,0.9217,0.0901,0.0195,0.0417,540.5,0.3346,0.2772,0.3563,REP-0164,baseline,BASELINE-01164
fraud_hic_exchange,0.0283,0.906,0.331,0.4604,0.1103,541.0,0.241,0.3878,0.3879,REP-0165,baseline,BASELINE-01165
clean,0.6258,0.9087,0.0548,0.0525,0.0036,529.6,0.4063,0.3877,0.447,REP-0166,baseline,BASELINE-01166
clean,0.6024,0.9386,0.0496,0.0508,0.0505,506.7,0.3654,0.2705,0.4181,REP-0167,baseline,BASELINE-01167
loyalty_offer_missed,0.1031,0.9523,0.204,0.6079,0.1094,519.9,0.2058,0.2248,0.3316,REP-0168,baseline,BASELINE-01168
gamed_metric,0.1122,0.9253,0.1557,0.5485,0.0578,544.9,0.2761,0.2683,0.3622,REP-0169,baseline,BASELINE-01169
clean,0.7107,0.8662,0.0868,0.1176,0.0612,528.6,0.2847,0.3738,0.3103,REP-0170,baseline,BASELINE-01170
clean,0.6411,0.9418,0.1063,0.0691,0.0517,519.0,0.1781,0.2915,0.383,REP-0171,baseline,BASELINE-01171
clean,0.6322,0.8506,0.0936,0.0409,0.0724,508.7,0.2937,0.2425,0.3413,REP-0172,baseline,BASELINE-01172
clean,0.6687,0.8751,0.0974,0.0,0.044,553.9,0.269,0.2284,0.3792,REP-0173,baseline,BASELINE-01173
loyalty_offer_missed,0.0616,0.9653,0.2344,0.6576,0.1527,509.5,0.3664,0.3678,0.4309,REP-0174,baseline,BASELINE-01174
gamed_metric,0.1721,0.9254,0.116,0.4583,0.0927,492.1,0.2981,0.2466,0.3863,REP-0175,baseline,BASELINE-01175
fraud_care_promo,0.2169,0.9367,0.2339,0.347,0.0786,563.9,0.392,0.297,0.3461,REP-0176,baseline,BASELINE-01176
clean,0.6335,0.8821,0.0405,0.0,0.0728,573.6,0.431,0.3726,0.3785,REP-0177,baseline,BASELINE-01177
clean,0.5491,0.8938,0.0804,0.0288,0.0799,549.6,0.425,0.3168,0.3972,REP-0178,baseline,BASELINE-01178
fraud_store_promo,0.2135,0.9132,0.3019,0.4773,0.0949,550.5,0.2695,0.342,0.3418,REP-0179,baseline,BASELINE-01179
loyalty_offer_missed,0.1245,0.9444,0.1441,0.626,0.1487,552.0,0.2719,0.3614,0.3073,REP-0180,baseline,BASELINE-01180
fraud_hic_exchange,0.1674,0.8642,0.3563,0.4704,0.134,484.8,0.2563,0.2477,0.4901,REP-0181,baseline,BASELINE-01181
clean,0.6242,0.8961,0.0729,0.0318,0.0173,578.2,0.497,0.3929,0.3847,REP-0182,baseline,BASELINE-01182
loyalty_offer_missed,0.032,0.9258,0.1969,0.6424,0.1562,610.1,0.4299,0.3623,0.4273,REP-0183,baseline,BASELINE-01183
fraud_line_add,0.14,0.9058,0.3072,0.3857,0.1099,546.2,0.3433,0.3767,0.41,REP-0184,baseline,BASELINE-01184
unresolvable_clean,0.0679,0.5211,0.2847,0.2735,0.0458,541.6,0.2314,0.2348,0.3376,REP-0185,baseline,BASELINE-01185
clean,0.6882,0.8729,0.0916,0.0396,0.0385,546.0,0.2211,0.3284,0.3129,REP-0186,baseline,BASELINE-01186
fraud_store_promo,0.2026,0.9074,0.2637,0.4046,0.0912,545.8,0.2156,0.3568,0.334,REP-0187,baseline,BASELINE-01187
fraud_line_add,0.2118,0.9021,0.2508,0.4846,0.1032,570.6,0.4069,0.4366,0.3308,REP-0188,baseline,BASELINE-01188
gamed_metric,0.1271,0.9325,0.1481,0.4619,0.0874,498.2,0.1874,0.1863,0.3441,REP-0189,baseline,BASELINE-01189
fraud_hic_exchange,0.106,0.8549,0.3555,0.4491,0.1081,542.2,0.33,0.2896,0.4378,REP-0190,baseline,BASELINE-01190
gamed_metric,0.1532,0.8732,0.124,0.4698,0.0723,550.8,0.2316,0.2806,0.2738,REP-0191,baseline,BASELINE-01191
unresolvable_clean,0.1365,0.5049,0.2876,0.3062,0.0933,537.0,0.2016,0.3582,0.4152,REP-0192,baseline,BASELINE-01192
clean,0.5336,0.8879,0.0287,0.0,0.0592,567.3,0.3869,0.4082,0.5208,REP-0193,baseline,BASELINE-01193
clean,0.6221,0.956,0.1161,0.0493,0.0311,494.0,0.2126,0.3908,0.3828,REP-0194,baseline,BASELINE-01194
clean,0.6592,0.9447,0.0691,0.058,0.0511,517.1,0.2855,0.3147,0.42,REP-0195,baseline,BASELINE-01195
loyalty_offer_missed,0.1304,0.9113,0.2364,0.6403,0.1441,508.8,0.3141,0.3217,0.4056,REP-0196,baseline,BASELINE-01196
unresolvable_clean,0.0063,0.5533,0.3616,0.1791,0.0617,577.7,0.482,0.3107,0.4661,REP-0197,baseline,BASELINE-01197
clean,0.6004,0.9169,0.0525,0.0,0.0378,530.9,0.3459,0.3751,0.4118,REP-0198,baseline,BASELINE-01198
fraud_store_promo,0.1931,0.8726,0.2944,0.4455,0.0499,535.7,0.2006,0.2697,0.3575,REP-0199,baseline,BASELINE-01199
loyalty_offer_missed,0.178,0.9468,0.189,0.719,0.1373,527.5,0.2157,0.4009,0.4498,REP-0200,baseline,BASELINE-01200
clean,0.5502,0.9606,0.0791,0.0216,0.0364,524.5,0.3767,0.2919,0.3673,REP-0201,baseline,BASELINE-01201
unresolvable_clean,0.0904,0.5468,0.3084,0.3058,0.07,522.5,0.2468,0.2662,0.4318,REP-0202,baseline,BASELINE-01202
loyalty_offer_missed,0.1207,0.946,0.2175,0.5702,0.147,539.1,0.1776,0.2933,0.4235,REP-0203,baseline,BASELINE-01203
clean,0.7075,0.9345,0.1127,0.0196,0.0087,510.8,0.2803,0.3419,0.4255,REP-0204,baseline,BASELINE-01204
clean,0.6965,0.9076,0.0303,0.0207,0.0232,508.3,0.2905,0.295,0.3773,REP-0205,baseline,BASELINE-01205
clean,0.6062,0.9055,0.0186,0.0625,0.0442,499.0,0.1551,0.2852,0.3325,REP-0206,baseline,BASELINE-01206
loyalty_offer_missed,0.0284,0.9566,0.2142,0.6199,0.1539,573.6,0.4904,0.2558,0.4217,REP-0207,baseline,BASELINE-01207
loyalty_offer_missed,0.0442,0.9421,0.2149,0.6087,0.1176,580.2,0.3042,0.2021,0.4127,REP-0208,baseline,BASELINE-01208
clean,0.6185,0.9208,0.0899,0.025,0.0165,556.5,0.4541,0.3273,0.324,REP-0209,baseline,BASELINE-01209
clean,0.5706,0.9246,0.1022,0.0306,0.0526,531.2,0.1672,0.237,0.3104,REP-0210,baseline,BASELINE-01210
clean,0.6509,0.8782,0.0758,0.0582,0.0726,553.5,0.2367,0.2529,0.4939,REP-0211,baseline,BASELINE-01211
